Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United Arab Emirates,Included / International,Price / International,Compare At Price / International,Status
cmyk-mug-01,CMYK-Mug-01,,obldisplay,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Gift,"Animals, Typography",TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mugShadows.jpg?v=1682325805,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
cmyk-mug-01,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mugShadows-001.jpg?v=1682325805,2,,,,,,,,,,,,,,,,,,,,,,,,,,
cmyk-mug-01,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/CMYK.jpg?v=1682325818,3,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-10,Animal-Mug-10,,obldisplay,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Gift,"Animals, Typography",TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/10.png?v=1682315393,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
animal-mug-10,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/10.1.png?v=1682315393,2,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-10,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mug-10.png?v=1682315390,3,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-animal-mug-8,Animal-Mug-9,,obldisplay,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Gift,"Animals, Typography",TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/9.png?v=1682315093,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
copy-of-animal-mug-8,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/9.1.png?v=1682315093,2,,,,,,,,,,,,,,,,,,,,,,,,,,
copy-of-animal-mug-8,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mug-9.png?v=1682315093,3,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-8,Animal-Mug-8,,obldisplay,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Gift,"Animals, Typography",TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/8.png?v=1682315024,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
animal-mug-8,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/8.1.png?v=1682315024,2,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-8,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mug-8.png?v=1682315022,3,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-7,Animal-Mug-7,,obldisplay,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Gift,"Animals, Typography",TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/7.png?v=1682314976,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
animal-mug-7,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/7.1.png?v=1682314976,2,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-7,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mug-7.png?v=1682314974,3,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-6,Animal-Mug-6,,obldisplay,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,Gift,"Animals, Typography",TRUE,Title,Default Title,,,,,,0,shopify,10,deny,manual,0,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/6.png?v=1682314929,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
animal-mug-6,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/6.1.png?v=1682314929,2,,,,,,,,,,,,,,,,,,,,,,,,,,
animal-mug-6,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0744/6357/6341/products/mug-6.png?v=1682314926,3,,,,,,,,,,,,,,,,,,,,,,,,,,
